x,y
-1.19892158918,0.0715627076318
-1.14916671435,0.0676017728902
-1.09948190316,0.063200078799
-1.04990915146,0.0578433145358
-1.00047510923,0.0510857207363
-0.951107668494,0.0434007647593
-0.901724502234,0.035841913217
-0.85232427115,0.0284304558101
-0.802975797368,0.020741575515
-0.753672883868,0.012811227355
-0.704397764553,0.00474844422686
-0.65507799648,-0.00277967625938
-0.605691626908,-0.00938043456811
-0.556266010572,-0.0152334444162
-0.506801147463,-0.0203387058038
-0.457228215465,-0.0242714017069
-0.407488779822,-0.0266708331057
-0.357582840526,-0.027537
-0.307582840528,-0.027537
-0.257582840531,-0.027537
-0.207582840527,-0.027537
-0.15758284053,-0.027537
-0.107582840526,-0.027537
-0.0575828405222,-0.027537
-0.00758284052505,-0.027537
0.0424171594724,-0.027537
0.0924171594774,-0.027537
0.142417159476,-0.027537
0.192417159475,-0.027537
0.242417159475,-0.027537
0.292417159475,-0.027537
0.342417159476,-0.027537
0.392417159476,-0.027537
0.442417159476,-0.027537
0.492417159475,-0.027537
0.542407461948,-0.027400545372
0.592325975084,-0.0262539381997
0.642172698888,-0.0240971784831
0.691947633361,-0.0209302662223
0.741295586131,-0.0155554306351
0.789979317236,-0.00717265714564
0.837998826684,0.00421805424607
0.88527355695,0.0186613625619
0.931779740413,0.0354558628703
0.977517377073,0.0546015551712
1.02229652871,0.0763336806911
1.06497367806,0.101310642064
1.10578606508,0.128732424715
1.14473368977,0.158599028643
1.18124337592,0.191204311342
1.21512551075,0.226573198971
1.24638009425,0.264705691532
1.2750609376,0.305438898354
1.30214851827,0.347192082709
1.32764283624,0.389965244597
1.35154389154,0.433758384017
1.37418501836,0.478239438181
1.39580396605,0.523227519239
1.4164007346,0.568722627191
1.43611145106,0.614652411486
1.45545434759,0.66074143543
1.47442942421,0.706989699023
1.49286518564,0.753460022336
1.51086920339,0.800091009853
1.52847920036,0.846866330277
1.54558098855,0.893820205126
1.5618704337,0.941043781745
1.57734753581,0.98853706014
1.59198312441,1.03630742894
1.60580436739,1.08432862488
1.61903379027,1.13251913515
1.63129360087,1.18095178415
1.64244310955,1.2296414814
1.65278645059,1.27849707954
1.66232362398,1.32751857857
1.67162527955,1.37657107011
1.68148834576,1.42546430811
1.69199236012,1.4741669382
1.70420914003,1.52233254499
1.71839356312,1.56991199745
1.73454562936,1.61690529561
1.75267679405,1.66330711376
1.77225281001,1.70924160936
1.79262107612,1.75486247162
1.81334516873,1.80033076859
1.83290778581,1.846219319
1.85130892737,1.89252812282
1.86846173844,1.93927742491
1.88400200074,1.98655477565
1.89792248212,2.03436353735
1.91022318256,2.08270371004
1.92126098825,2.13144558001
1.93185917597,2.18028991954
1.94201774572,2.22923672861
1.95182355248,2.27826576239
1.96162935923,2.32729479617
1.97141726855,2.37632620591
1.98027948413,2.4254805048
1.98821600595,2.47475769285
1.99522081177,2.52415797058
2.00082478806,2.57369695777
2.00502793481,2.62337465441
2.00783025202,2.67319106052
2.00923767179,2.72314300596
2.00922592919,2.77304811385
2.00779502422,2.82290638418
2.00495097916,2.87271761645
2.00027892387,2.92229014658
1.99376642108,2.97162149771
1.98541347079,3.02071166984
1.97512465637,3.06953180176
1.96381757475,3.11813976259
1.95149222593,3.16653555232
1.93621026139,3.21382280016
1.9187941628,3.26014910936
1.89929915727,3.30554299444
1.87818701792,3.35028544454
1.85556512673,3.39440611503
1.83144794799,3.43790900049
1.80588398433,3.48082044857
1.78085931842,3.52406276026
1.75643545224,3.56766437658
1.7327362054,3.61168398549
1.70938162168,3.65588220405
1.68637170108,3.70025903226
1.66358767565,3.74474746501
1.64031995497,3.78894818992
1.6165208049,3.83283527679
1.59330360702,3.87696392183
1.57084012238,3.92141813042
1.54904853405,3.96615629638
1.52734351908,4.01092974416
1.50573297505,4.05575837539
1.48477066892,4.10095929486
1.46424475351,4.14642223715
1.44304184725,4.19159200607
1.42060486708,4.23611130054
1.39493492427,4.27825671417
1.36661734179,4.31827692251
1.33576299001,4.35621902904
1.30220922946,4.39173467061
1.26593023579,4.4245782369
1.226926009,4.45474972789
1.18541526168,4.48243771368
1.14311047873,4.50880799755
1.0999698903,4.53377925724
1.0559801137,4.55731518718
1.01107380786,4.57890495405
0.965488644302,4.59890443362
0.919224623024,4.61731362589
0.872226496924,4.63391306333
0.824712088006,4.64898790969
0.776723166128,4.66261948725
0.728217245504,4.67452215528
0.679491599634,4.68538030668
0.630546228517,4.69519394145
0.581381132146,4.70396305959
0.532051557632,4.71190712863
0.482626086785,4.7192985879
0.433137656956,4.72634166251
0.383671404619,4.73353977224
0.334267357618,4.74112358057
0.284887247063,4.74868554466
0.235444478664,4.75530348217
0.185939052412,4.76097739312
0.136370968301,4.76570727749
0.086707288987,4.76928891016
0.0369187464835,4.77154081767
-0.0108054698019,4.772463
-0.0585536225325,4.77151897343
-0.106239117411,4.76963092028
